,cluster,distance,polarity,target_group,target_ppto,target_word,source_image_schema_group,source_word,llm_expl,sentence
1186,0,0.3243500149070405,right,Other,person,us,other,run,"The verb 'run' is used metaphorically to describe managing or controlling 'influence,' which is an abstract concept. The literal action of 'running' (physical movement) does not apply here, instead conveying the idea of overseeing or directing influence, which is a conceptual metaphor.",'Huge Danish influence-was run by us for hundreds of years......'
860,0,0.37057777652817836,right,Border Control and Security,thing,camps,other,run,"The verb 'run' is used metaphorically to describe the management or operation of 'camps,' which transcends its literal meaning of physical movement. Here, 'run' conveys administrative control over the prison camps, not a physical action.","'Today,  and I introduced our bills to close the loophole Trump has used to run immigrant child prison camps in Tornillo and Homestead, FL.'"
1456,0,0.390835649422811,right,U.S. Borders,place,camps,force,running,"The verb 'running' is used metaphorically to describe the management or operation of 'camps' rather than a physical action. In this context, 'running' refers to the administrative or logistical control of the camps, extending the source verb's meaning beyond its literal sense of movement.",'As long as the Money is going to HELP THE MIGRANTS and not LINE THE POCKETS of your crony contractors that are building and running the concentration camps at the border.'
1203,0,0.4063358854252215,right,International Relations,thing,influence,other,run,"The verb 'run' is used metaphorically here to describe the management or control of 'influence,' which is an abstract concept. Literally, 'run' refers to physical movement or operation of something tangible, but in this context, it conveys the idea of overseeing and directing influence, which transcends its literal meaning.",'Huge Danish influence-was run by us for hundreds of years......'
1012,0,0.408978802698616,left,Tech Companies,organization,company,other,run,"The verb 'run' is used metaphorically to describe managing or operating the company, which is not a physical action. The source verb 'run' transcends its literal meaning of moving by leg movement to convey the abstract concept of overseeing a business, a common metaphorical usage.",'Zuckerberg is in so far over his head that he can’t even run his company honestly without purging our privacy and you think we care what the twit has to say.'
1047,0,0.4253096980769794,right,Criminal Justice and Enforcement,thing,day,force,running,"The verb 'running' is used metaphorically to describe the management or operation of the detention centers, which is a conceptual extension beyond its literal meaning of physical movement. The verb does not refer to a physical action but rather signifies overseeing an operation, thus transcending its original meaning.",'Trump Gov't is paying private prisons running the 'detention centers' $775/day per immigrant to force the adults to work for $1/day and profiting off their work.'
30,0,0.4921166282645185,left,Anti-Immigration Sentiment,thing,money,other,run,"The verb 'run' is used metaphorically to describe the depletion of 'money,' which does not involve a physical action. 'Run' here signifies the exhaustion or consumption of resources, transcending its literal meaning of movement.","'Free everything, they come in by the thousands, eventually our money will run out.'"
685,0,0.5171736766179797,left,People of Color,person,blacks,force,running,"The verb 'running' is used metaphorically to depict the social process of excluding or pushing 'blacks' out of neighborhoods, rather than describing a literal physical action. The phrase 'running...out' here signifies a metaphorical act of displacement or marginalization, not a tangible movement.","'You would think the Dems would have some concern about the illegals, and legal immigrants, running blacks out of their own neighborhoods.'"
303,1,0.5745419670188673,right,Immigration Policy,thing,KeepFamiliesTogetherAct,spatial motion,sign,"The verb 'sign' is used metaphorically to represent supporting or endorsing the 'KeepFamiliesTogetherAct' rather than referring to the physical act of writing one's name on a document. The context frames 'sign' as a metaphor for participation in a cause, transcending its literal meaning.",'This is not going to go away until  stops it or YOU joing with Dem's to sign #KeepFamiliesTogetherAct #NotInMyName #Immigration #FamiliesBelongTogether'
1569,1,0.5837769737152044,left,National Security vs. Humanitarian Concerns,thing,something,spatial motion,sign,"The verb 'sign' is used metaphorically to represent the act of agreeing to the terms of a document, rather than the literal physical action of writing one's name. The metaphorical aspect lies in using 'sign' to imply acceptance of the consequences or conditions associated with the target noun 'something'.",'Dont sign something that gives the UN the right to dictate immigration policy in America.'
277,1,0.6738936616770576,left,Political Figures,person,Macron,other,signs,"The verb 'signs' is used metaphorically to characterize Macron's action toward the Global Migration. Here, 'signs on to' conveys endorsement or support for a policy or agreement, transcending the literal physical act of signing a document. The metaphorical aspect lies in using the verb to signify political alignment or commitment, rather than a tangible action.","'If Macron signs on to the Global Migration…"" — Sieg Heil Merkel'"
820,1,0.8103131075611719,right,Other,person,you,other,join,"The verb 'join' is used metaphorically to characterize the target noun 'you' by implying an action of becoming part of an activity or group, rather than describing a physical action of connecting. The request 'Will you join me?' metaphorically extends 'join' to signify social participation or accompaniment, transcending its literal meaning of physical union.",'Will you join me?'
2869,1,0.8251144121015339,left,Immigration Policy,thing,things,other,met,"The verb 'met' is used metaphorically here, as it transcends its literal meaning of a physical encounter to describe the abstract action of 'things' facing or being confronted with opposition. The phrasal verb 'meet with' is employed metaphorically to signify encountering challenges, rather than a direct physical interaction.","'However, the things he supported would be met with severe opposition in 2018.'"
2641,1,0.9396895918439817,left,Political Figures,person,You,other,idiot,"The verb 'idiot' is used metaphorically here to personify or label the target noun 'You' as someone lacking intelligence, transcending its literal meaning of a physical action. It serves as an evaluative metaphor, attributing a negative quality to the noun rather than describing a tangible action.","'You idiot leftists want THAT life, move to Mexico, Central or South America.'"
