,met_id,cluster,doc_id,source_word,target_word,llm_expl,sentence,distance
978639260537491457_0_2_4,978639260537491457_0_2_4,0,978639260537491457,rot,hell,"There is a harmful, decaying influence spreading through the country. The 'rot' is caused by the presence of these individuals corrupting the nation. It is morally wrong that these people are corrupting the country's integrity. The harmful influence should be expelled to cleanse the country.",'Get this rot the hell out of our country &amp; keep them out.',0.53222996
978639260537491457_0_2_1,978639260537491457_0_2_1,0,978639260537491457,rot,this,There is a corrupting influence within the country that is causing decay. This rot is allowed to persist within the country's borders. It is immoral to let this corrupting influence remain in the country. This rot should be expelled and prevented from entering the country.,'Get this rot the hell out of our country &amp; keep them out.',0.5760653
1008927567020060672_5_9_7,1008927567020060672_5_9_7,0,1008927567020060672,stay,they,Corruption is causing instability or decline in those countries. Corruption is the root cause of the instability or decline. It is harmful and unethical for corruption to undermine the stability of those countries. Stopping corruption will ensure the stability and continued existence of those countries.,'stop the corruption in those countries and they will stay.',0.579991
1008927567020060672_5_0_2,1008927567020060672_5_0_2,0,1008927567020060672,stop,corruption,Corruption is causing the countries to fail or not survive. The presence of corruption in the countries is the root issue. It is unethical to allow corruption to persist in those countries. Corruption must be eliminated to ensure the countries remain stable.,'stop the corruption in those countries and they will stay.',0.58491707
1093674449902145538_3_3_1,1093674449902145538_3_3_1,0,1093674449902145538,going,world,The world is experiencing a downward spiral into chaos. The world's decline is due to accumulated moral failures and corruption. The current state of the world is morally corrupt and deteriorating. The world must reverse its downward spiral by addressing moral failures and restoring order.,'This world is going to hell',0.66767263
1008809307369082882_3_23_22,1008809307369082882_3_23_22,0,1008809307369082882,dies,it,The outrage is fading or losing its impact. The continuation of past practices is causing the outrage to die. It is immoral that the outrage is dying due to complacency. The current practices should be stopped to prevent the outrage from dying.,'He's doing what has always been done &amp; that is where i believe the biggest outrage lies but also where it dies.',0.79486525
1083138515150487552_1_1_4,1083138515150487552_1_1_4,1,1083138515150487552,need,illegals,They are relying on illegal immigrants to achieve political goals. Their political strategy depends on exploiting illegal immigrants for votes and representation. It is unethical to use illegal immigrants as a tool for political gain. They should find alternative ways to secure votes and representation without depending on illegal immigrants.,'They need as many illegals as possible for votes and Congressional representation.',0.43162823
1033153957118599168_1_18_12,1033153957118599168_1_18_12,1,1033153957118599168,control,illegals,Illegal immigrants are being used to manipulate the voting process. Corrupt individuals want to control the vote by increasing illegal immigration. It is immoral that corrupt people would exploit illegal immigrants to control elections. Illegal immigration should be restricted to prevent manipulation of the vote.,"'this is what happens when your power hungry, u need more illegals coming into the country to control the vote"" they are corrupt, and have no conscience, they could care less,  to get more illegal scum in.'",0.5007188
1033153957118599168_1_18_20,1033153957118599168_1_18_20,1,1033153957118599168,control,vote,Illegal immigrants are being used to manipulate the voting process. Corrupt individuals seek to exploit the system by increasing illegal immigration to control elections. It is immoral that corrupt leaders would use illegal immigrants as tools to manipulate democracy. The flow of illegal immigrants should be stopped to prevent electoral manipulation.,"'this is what happens when your power hungry, u need more illegals coming into the country to control the vote"" they are corrupt, and have no conscience, they could care less,  to get more illegal scum in.'",0.5045506
1104726202726731776_0_2_1,1104726202726731776_0_2_1,1,1104726202726731776,Vite,Illegals,Illegal immigrants are influencing Democratic political decisions. Illegal immigrants are being manipulated into supporting Democrats by external forces. It is unethical to exploit illegal immigrants as political tools. Illegal immigrants should be prevented from being coerced into political actions.,'Because Illegals Vite Dem as they are told to do!',0.5160553
