,met_id,cluster,distance,polarity,target_group,target_ppto,target_word,source_image_schema_group,source_word,llm_expl,sentence
5709,0e5efcaa-8b85-11ed-95fd-3fc9ab0ea880_532_5_3,0,0.42634052956963514,right,Conspiracies,thing,what,spatial motion,going,"The verb 'going' is used metaphorically in the phrase 'going on,' which represents events happening or occurring. This usage transcends the literal meaning of 'going' (physical movement) to convey a conceptual state of activity or situation, personifying the abstract idea of events unfolding.",'He knows exactly what's going on inside of the FBI.'
102,cc04eafc-ab03-11ec-82cc-631625b14811_33_12_11,0,0.4311689824270321,right,Other,person,you,spatial motion,go,"The verb 'go' is used metaphorically to indicate proceeding or moving forward in a task or conversation, rather than describing a physical action. It signifies the target noun 'you' taking the next step in a process, transcending its literal meaning of physical movement.","'Well, let me just finish this thought, and then you go from there.'"
5903,d71c6e12-1d4a-11f0-953a-477923aed071_109_13_11,0,0.4343906776375431,left,Policy Challenges,thing,what,spatial motion,going,"The verb 'going' is part of the phrasal verb 'going on', which is used metaphorically to denote the occurrence or happening of events. Here, 'going' transcends its literal meaning of physical movement to signify the unfolding of situations, thus characterizing 'what' as a conceptual process rather than a physical action.","'So just putting on a blindfold, not wanting to know what's going on in education across our country, not wanting to know how our kids are doing and where the gaps exist.'"
2086,95b4c966-203b-4217-bc66-d83052b0cd99_297_4_2,0,0.43667490817296245,left,Public Demonstrations,thing,what,spatial motion,going,"The verb 'going' is used metaphorically to describe the occurrence or existence of events ('what'). Literally, 'going' refers to physical movement, but here it transcends that meaning to signify that something is happening or present, without referencing a physical action.",'Check out what's going on locally in your town.'
1190,64f45e18-5b2f-4574-b34c-84410e316110_174_104_101,0,0.4531050997058846,left,Public,person,we,spatial motion,go,"The verb 'go' is used metaphorically to describe the action of 'we' pursuing independent paths or making autonomous decisions. Literally, 'go' refers to physical movement, but here it signifies the metaphorical act of diverging or choosing separate courses, transcending its original meaning without referring to a physical action.","'It just seemed to me like a, just a normal person got put on a grand jury and like with all the other people, um, who essentially it sounds like have voted unanimously to indict up to if not more than a dozen people this is um well this is very good news so that was one of the highlights of the week and other news from georgia you have marjorie taylor green Again, on one of her rampages where she was suggesting an American divorce, that the red states divorce from the blue states and we just each go our own ways.'"
227,3bdc5bfd-9705-46fd-99d7-b2360117c606_570_1_0,0,0.45469187330002026,right,Influence,thing,I,spatial motion,go,"The verb 'go' is used metaphorically here as part of the phrasal verb 'go about,' which conveys the idea of initiating or proceeding with a task. It does not describe a physical movement but rather the action of starting the business of preparing for shows and battles, transcending its literal meaning of physical motion.",'I go about the business of doing my shows and getting ready to battle another day.'
2652,95b4c966-203b-4217-bc66-d83052b0cd99_265_10_8,0,0.46043142312856683,left,Media,thing,what,spatial motion,going,"The verb 'going' is used metaphorically in the phrase 'what's going on,' where it does not describe physical movement but instead signifies the occurrence or happening of events. This usage transcends the literal meaning of 'going' (moving from one place to another) and employs it to characterize the dynamic state of 'what' (events) in a non-physical manner.",'You can click on that link and see what's going on in your area.'
306,b596eadb-5fb6-493c-bad0-aee500175236_351_10_9,0,0.4626632433574308,right,Media,thing,it,spatial motion,goes,"'Goes' is part of the phrasal verb 'go on,' which in this context is used metaphorically to indicate the continuation of a discussion or situation. The verb does not describe a physical action but rather conveys the abstract idea of persistence or progression, transcending its literal meaning of movement.","'Anyway, Krugman at the New York Times, it goes on, how is your financial, if you ask people how is your financial condition, it's favorable.'"
893,cf6660da-d345-48f8-a598-24311470f88d_197_2_1,0,0.47449075537514157,left,Other.,person,you,spatial motion,go,"The verb 'go' is used metaphorically to describe the action of 'you' transcending its literal meaning of physical movement. Here, 'go' metaphorically represents the act of moving on from guilt or emotional states, implying an internal process rather than a physical action.","'And you go, no, I know I shouldn't have, but that's why I'm confessing it here.'"
4862,469d94c6-769a-4c8b-b37b-b2a6001b7d9b_130_2_1,0,0.4750442150666267,right,Institutional Frameworks,thing,it,spatial motion,goes,"The verb 'goes' is part of the phrasal verb 'go on,' which metaphorically signifies the continuation of an action or process. Here, 'it' is abstract (likely referring to a text or narrative), and 'goes' does not describe a physical movement but rather the ongoing progression of describing 'them,' transcending its literal meaning.",'And it goes on to describe them in great specificity and great detail.'
673,64f45e18-5b2f-4574-b34c-84410e316110_321_25_23,0,0.4785751800194814,left,Legal and Social Issues.,thing,that,spatial motion,going,"'Going' is used metaphorically as part of the idiom 'that's going on,' which refers to events or situations happening in a place. The verb does not describe a physical action but conveys the abstract concept of ongoing occurrences, transcending its literal meaning.","'So that's it for what I wanted to say today and to encourage you to get involved with any reproductive rights stuff that's going on in your town, in your state.'"
6963,10672768-1932-4440-9494-b3cd0026c419_197_4_2,0,0.4952142529637985,right,Institutional Frameworks.,thing,everything,spatial motion,going,"The verb 'going' is used metaphorically to describe the state of 'everything' returning to normal. It does not refer to physical movement but rather signifies a transition to a previous state, transcending its literal meaning of physical motion.",'And then everything's going to go back to normal.'
2250,95b4c966-203b-4217-bc66-d83052b0cd99_263_19_17,0,0.4977851944123419,left,Public Demonstrations,thing,that,spatial motion,going,"The verb 'going' is used metaphorically in the phrase 'that's going on,' where it represents the concept of events or situations occurring, rather than describing a physical movement. The phrase 'going on' is an idiom that signifies 'happening' or 'taking place,' which transcends the literal meaning of the verb.","'And the Women's March and their website, they've been very good about posting everything that's going on in hundreds of towns across the country.'"
6780,2adbf0e2-f1d8-11f0-b2d6-e3a0b13b9b1b_184_3_2,0,0.5107501391469533,left,Conspiracies,thing,what,spatial motion,went,"The verb 'went' is used metaphorically to signify the occurrence or happening of an event ('what went down there'), rather than describing physical movement. The source verb 'go' (and its past tense 'went') is extended beyond its literal meaning to denote an abstract event or situation, transcending its original reference to physical action.",'That's what went down there.'
1918,2adbf0e2-f1d8-11f0-b2d6-e3a0b13b9b1b_188_26_24,0,0.5120317451099378,left,U.S. Presidents,person,he,spatial motion,going,"The verb 'going' is used metaphorically to convey the intention or plan to take action, rather than describing a physical movement. The phrase 'going to' in this context signifies a future intention, which extends the original meaning of 'going' (physical movement) to represent a metaphorical state of preparation or commitment.","'If there's any killings at all by the Iranian regime, Trump said that he was going to send the American military and he was going to engage in military strikes.'"
7217,db3645a8-866b-11ee-89ee-ab796eb80dd3_71_8_3,0,0.5191219961786834,left,Government Officials',person,Smith,spatial motion,goes,"The verb 'goes' is used metaphorically to indicate a conceptual connection rather than a physical action. It links the 'like' (a metaphor for an argument or point) to 'his intent,' suggesting that the 'like' leads or points toward the intent, transcending its literal meaning of movement.","'Special Counsel Jack Smith's like, that goes to his intent of the charges that are brought against him.'"
5338,13b33b9c-d276-11ee-9b50-07cb70f0898b_178_6_4,0,0.5191999589676322,left,Technology and Innovation Professionals.,person,geeks,spatial motion,go,"The verb 'go' is used metaphorically to describe the geeks' action of 'going big,' which signifies taking bold or ambitious steps. Here, 'go' transcends its literal meaning of physical movement and instead conveys a metaphorical concept of pursuing significant endeavors, personifying the geeks' behavior as an active, dynamic process.",'He's got the geeks to go big.'
1613,b1c9b328-b481-11ee-be0e-db459aa16660_246_3_1,0,0.5199667229088464,right,Policy Challenges,thing,lot,spatial motion,go,"The verb 'go' is used metaphorically to characterize the target noun 'lot.' In this context, 'go' does not refer to physical movement but instead conveys the abstract idea of a situation progressing toward an adverse outcome. The phrase 'go wrong' is an idiom where 'go' signifies a transition into a problematic state, transcending its literal meaning of movement.",'A lot could go wrong.'
3370,8ab20af6-746b-42e5-b500-b22f002135ae_178_6_4,0,0.5227493066008747,right,Public Demonstrations',thing,what,spatial motion,going,"The verb 'going' is used metaphorically to describe the state of affairs or events happening, rather than a physical action. The phrase 'what's going on' is a fixed expression where 'going' signifies ongoing events or situations, transcending its literal meaning of movement.",'Let's talk about what's going on on college campuses around the country.'
2870,cc04eafc-ab03-11ec-82cc-631625b14811_348_11_9,0,0.5260569419763305,right,Swing States,place,state,spatial motion,going,"The verb 'going' is used metaphorically to personify the abstract concept of 'state' as if it were a physical entity capable of movement. This transcends its literal meaning of physical motion, instead implying a transition or transformation of the political state, which is not a tangible object.",'And I think he thinks that maybe politically the state's going to change.'
3354,d71c6e12-1d4a-11f0-953a-477923aed071_133_55_54,0,0.5312164131233941,left,Policy Challenges',thing,it,spatial motion,goes,"The verb 'goes' is used metaphorically to personify the abstract concept 'it' (the attack), implying a direction or trajectory without physical movement. The verb transcends its literal meaning of physical action to describe the progression or potential impact of the attack, which is an abstract entity.","'So whether that's talking about this in terms of jobs and livelihoods, on funding that's being withheld from our communities, on just the ability to deliver critical services, especially to some of our most vulnerable citizens, this attack is far ranging and we're deeply concerned about where it goes next.'"
4837,0e5efcaa-8b85-11ed-95fd-3fc9ab0ea880_312_19_17,0,0.5348024089892721,right,Citizens,person,community,spatial motion,going,"The verb 'going' is used metaphorically to indicate the potential actions or intentions of the 'community' as a collective entity. While 'going' literally refers to physical movement, in this context, it is employed to convey the community's prospective actions or decisions, transcending its literal meaning to signify agency or direction without direct physical implication.","'Hey, the black community is not going to, you don't know what the black community is going to do.'"
3517,0e5efcaa-8b85-11ed-95fd-3fc9ab0ea880_463_10_8,0,0.5465484126168014,right,Power Dynamics,thing,nothing,spatial motion,going,"The verb 'going' is used metaphorically to describe the progression or inevitability of an outcome ('nothing's going to happen'). Here, 'going' does not refer to a physical movement of 'nothing' but instead signifies the conceptual process of an event moving toward a conclusion, transcending its literal meaning of physical motion.","'Don't tell me like, oh, nothing's going to happen.'"
2899,287822c0-4282-11ed-8363-cb83fa110de1_224_3_2,0,0.5469038374434932,left,Voter Suppression Advocates.,person,you,spatial motion,go,"The verb 'go' is used metaphorically to indicate a transition between abstract conceptual sections of a speech, rather than describing a physical movement. It characterizes the target noun 'you' by implying progression through distinct thematic areas, which transcends the verb's literal meaning of physical displacement.",'So then you go from the election disinformation part of his speech to just dangerous conspiracies and lies section of his speech.'
3899,287822c0-4282-11ed-8363-cb83fa110de1_205_71_68,0,0.5498780899568295,left,U.S. Presidents,person,he,spatial motion,go,"The verb 'go' is used metaphorically in the phrase 'go after Biden,' where it forms part of the phrasal verb 'go after,' which signifies pursuing someone aggressively or persistently. This usage transcends the literal meaning of 'go' (physical movement) to convey an intent to target or attack, personifying the action as a deliberate pursuit rather than a physical action.","'Then Trump says that his call to Brad Raffensperger, the Georgia Secretary of State, he said was a beautiful and perfect call and then he even leaned in to say it was just like the perfect call he made to zielinski in ukraine when he extorted zielinski and tried to destroy ukraine on behalf of russia and extorted uh zielinski to go after biden and if he wouldn't go after biden trump threatened zielinski that he wouldn't give zielinski the weapon systems that they wanted or needed trump had also said a bunch of other pro-russian stuff and how he wanted to form a cyber security alliance with russia and of course there's helsinki but Here's a whole other video for Donald Trump's despicable conduct in supporting our enemies against our allies.'"
2445,205cf4e6-f82d-11ee-9742-8fe73dcf2196_123_17_16,0,0.5522409942838694,right,Legal Cases,thing,case,spatial motion,go,"The verb 'go' is used metaphorically to describe the progression of the legal case, not a physical movement. 'Go forward' signifies advancing in a process, which transcends the literal meaning of the verb.",'I'm hoping these jurors can come in and be unbiased and we'll let this case go forward in a swift manner that allows President Trump to get back on the campaign trail.'
5428,63e3cb5e2b0e2f0011270e5c_330_8_7,0,0.5540492416849393,left,Political Commentators,person,you,spatial motion,go,"The verb 'go' is used metaphorically to represent the action of initiating or delivering a speech, rather than describing a physical movement. The phrase 'go, hey' functions as an exhortation or prompt for someone to speak, transcending the literal meaning of 'go' as physical movement.","'But you could do a speech where you go, hey, and she mentioned this like for like half a second, we handed Biden a good economy.'"
4547,3bdc5bfd-9705-46fd-99d7-b2360117c606_48_7_5,0,0.5605940969501332,right,Vaccines,thing,treatments,spatial motion,go,"The verb 'go' is used metaphorically to describe the treatments 'ceasing to exist' or 'disappearing,' which transcends its literal meaning of physical movement. The phrase 'go away' here signifies the termination or removal of treatments, not an actual physical action, thus employing metaphorical extension.",'They were told that IVF treatments will go away.'
7186,db3645a8-866b-11ee-89ee-ab796eb80dd3_44_3_2,0,0.5646709097423535,left,Legal Cases,thing,'s,spatial motion,go,"The verb 'go' is used metaphorically in the phrasal verb 'go through', which signifies the process of examining or processing 'judge Chutkin's order' rather than describing a physical movement. The metaphorical use extends the source verb's meaning beyond literal action to convey a conceptual process.","'Then let's go through judge Chutkin's order, play the clip.'"
6159,469d94c6-769a-4c8b-b37b-b2a6001b7d9b_102_3_2,0,0.569972412560325,right,Public.,person,we,spatial motion,go,"The verb 'go' is used metaphorically to describe the action of returning to a previous state or time, rather than a physical movement. The phrase 'go back' here signifies a temporal return to past events, not a literal physical action.","'Again, we go back and we ask, what has Elon Musk done to incur this wrath?'"
2473,2b0054b4-ecea-44a4-855f-b3b6000e929c_263_21_20,0,0.5715103489693747,right,Media Professionals,person,you,spatial motion,go,"The verb 'go' is used metaphorically to describe the state of 'you' being 'unbridled,' which implies releasing someone from restraint or control. This transcends the literal meaning of 'go' (physical movement) and instead conveys a conceptual metaphor of allowing unrestrained action, akin to personification or metaphorical release.","'Well, yeah, I mean, if it came down to it, I mean, if I let you go unbridled, I mean, we'd be fined out the yazoo by the FCC.'"
3022,f74de610-99d5-11ee-996f-3fece011ee96_694_11_10,0,0.5726828654744137,right,Public,person,we,spatial motion,go,"The verb 'go' is used metaphorically to describe the abstract process of experiencing life's challenges, transcending its literal meaning of physical movement. Here, 'go through' represents enduring or navigating life's difficulties, not a physical action.","'I think everything is just part of life, what we go through.'"
5539,b75ea1be-17e0-11ef-a17e-bb3416e4183b_101_9_8,0,0.5788009206955648,left,Media',thing,what,spatial motion,went,"'Went' is used metaphorically here to represent the occurrence or unfolding of events ('what went down'), rather than describing a physical movement. The verb transcends its literal meaning to personify or conceptualize the abstract idea of events happening, aligning with metaphorical usage rather than literal action.","'Remember back in July, we reported about what went down in Michigan.'"
5821,b75ea1be-17e0-11ef-a17e-bb3416e4183b_137_3_0,0,0.5800638067466092,left,Capitol Riot Participants,person,You,spatial motion,gon,"The verb 'gon' (contraction of 'going to') is used metaphorically to describe the target noun 'You' as experiencing a decline or downfall, rather than a literal physical action. The phrase 'go down' signifies a metaphorical state of failure or deterioration, not a physical movement.",'You're all gonna go down.'
7209,db3645a8-866b-11ee-89ee-ab796eb80dd3_56_17_16,0,0.5804195062995962,left,Legal Cases,thing,that,spatial motion,goes,"'Goes' is used metaphorically to describe the sequential process of evidence proceeding toward a jury, rather than indicating a physical movement. The verb transcends its literal meaning of physical motion to convey a conceptual progression in the legal context.","'Now, Judge Chutkin points out that first and foremost, an indictment isn't evidence that goes before a jury at the time of trial.'"
8,cc04eafc-ab03-11ec-82cc-631625b14811_49_4_2,0,0.5846085112905609,right,Media and Political Commentators,person,you,spatial motion,going,"The verb 'going' is used metaphorically to represent the intention or plan to transition into a role (columnist), rather than describing a physical movement. The phrase 'going to be' signifies a future intention, which transcends the literal meaning of 'going' as physical movement.","'But if you're going to be a columnist, the key to it is to provide some kind of definite solution, and Morgan did not do that.'"
3588,97e645d8-eba8-11f0-a898-3b712b89e31f_65_6_5,0,0.5849853657815668,left,Conspiracies',thing,what,spatial motion,went,"The verb 'went' is used metaphorically to describe the sequence of events or occurrences (what 'went down') rather than a physical movement. It transcends its literal meaning of movement to characterize the unfolding of actions or happenings, providing a conceptualization of the target noun 'what' as a series of events.","'Let me just show you what went down when you had Jesse Waters saying, look, I think maybe we use the oil money from Venezuela that we'll steal, then we'll take that to buy Greenland.'"
5188,661d9866-4392-4ad4-9fbe-b06000015ba6_343_43_42,0,0.5894438063227293,right,Conspiracies,thing,'s,spatial motion,go,"The verb 'go' is used metaphorically to indicate the action of returning to a previous topic or situation, rather than describing a physical movement. The phrase 'go back to the uranium-1 scandal' employs 'go' as a metaphor for revisiting a subject, not as a literal physical action.","'that they have overreached that they have you know by criminalizing political differences by weaponizing a Justice Department for their for their own means I and for their own benefit you know the idea if we're gonna you know let's go back to the uranium-1 scandal if we can I mean Adam by involves the Obama era sale of uranium mining company uranium-1 to a Russian state on course our corporation Rasa, Tom, you might remember us talking at length about this as one hundred and forty five million dollar scandal involving Hillary Clinton, the Clinton Foundation.'"
251,b596eadb-5fb6-493c-bad0-aee500175236_367_1_0,0,0.5901698985630406,right,Capitol Riot Participants,person,They,spatial motion,go,"The verb 'go' is used metaphorically to describe the target noun 'They' in the phrase 'go off.' While 'go' typically denotes physical movement, the phrase 'go off' here lacks a clear physical context and instead implies a non-literal action, such as departing without specifying a destination or acting in a way that transcends direct physicality (e.g., leaving a situation or behaving unpredictably). The metaphorical use lies in the abstract characterization of 'They'’s action rather than a tangible movement.",'They go off.'
3170,0e5efcaa-8b85-11ed-95fd-3fc9ab0ea880_657_11_9,0,0.6050940432645144,right,Capitol Riot Participants',person,you,spatial motion,going,"The verb 'going' is used metaphorically to indicate the consequence of being arrested, not a physical movement. It conveys the idea of facing the outcome ('going to jail') rather than describing actual motion.","'You get arrested anywhere near Washington, D.C., you're going to jail.'"
3119,287822c0-4282-11ed-8363-cb83fa110de1_1_4_1,0,0.6054996493052881,left,Public,person,you,spatial motion,go,"The verb 'go' is used metaphorically to represent the action of striving towards a goal ('glory'), rather than describing a physical movement. The phrase 'go for glory' signifies an abstract effort to achieve something, transcending the literal meaning of the verb.",'And you too can go for glory with the Xfinity five-year price guarantee.'
689,9a612080-75f3-485d-b082-63da8a572adb_35_17_16,0,0.6058990656514551,left,MAGA Republicans,person,they,spatial motion,going,"The verb 'going' is used metaphorically to convey the intention or decision of 'they' to vote for Kevin McCarthy. Here, 'going' does not describe a physical action (movement) but rather signifies a mental commitment or plan, transcending its literal meaning of physical movement.",'But there were at least four or five hardcore right-wingers that no way were they going to vote for Kevin McCarthy.'
