,cluster,target_group,source_image_schema_group,source_word,target_word,llm_expl,tweet
1116449972789096450_2_14_12,0,Anti-Immigration Sentiment,other,run,money,"The verb 'run' is used metaphorically to describe the depletion of 'money,' which does not involve a physical action. 'Run' here signifies the exhaustion or consumption of resources, transcending its literal meaning of movement.","'Free everything, they come in by the thousands, eventually our money will run out.'"
1093596082297278464_0_15_19,0,Border Control and Security,other,run,camps,"The verb 'run' is used metaphorically to describe the management or operation of 'camps,' which transcends its literal meaning of physical movement. Here, 'run' conveys administrative control over the prison camps, not a physical action.","'Today,  and I introduced our bills to close the loophole Trump has used to run immigrant child prison camps in Tornillo and Homestead, FL.'"
1188572735057858560_0_2_0,0,Citizens,other,ran,We,"The verb 'ran' is used metaphorically to characterize the target noun 'We' by implying the action of managing or operating the ads, which transcends its literal meaning of physical movement. The verb here describes a non-physical action (managing misleading ads) rather than a direct physical act.","'We easily ran blatantly misleading ads about hot-button political topics like immigration and gun control, and Facebook failed to catch them  #facebook'"
1112558899767463936_1_5_2,0,International Relations,other,run,influence,"The verb 'run' is used metaphorically here to describe the management or control of 'influence,' which is an abstract concept. Literally, 'run' refers to physical movement or operation of something tangible, but in this context, it conveys the idea of overseeing and directing influence, which transcends its literal meaning.",'Huge Danish influence-was run by us for hundreds of years......'
1112558899767463936_1_5_7,0,Other,other,run,us,"The verb 'run' is used metaphorically to describe managing or controlling 'influence,' which is an abstract concept. The literal action of 'running' (physical movement) does not apply here, instead conveying the idea of overseeing or directing influence, which is a conceptual metaphor.",'Huge Danish influence-was run by us for hundreds of years......'
1009241593746948097_0_13_9,0,Political Figures,other,run,he,"The verb 'run' is used metaphorically to describe the act of managing or operating the company, which transcends its literal meaning of physical movement. The source verb 'run' is applied to the target noun 'he' to signify managerial control rather than a physical action.",'Zuckerberg is in so far over his head that he can’t even run his company honestly without purging our privacy and you think we care what the twit has to say.'
1009241593746948097_0_13_15,0,Tech Companies,other,run,company,"The verb 'run' is used metaphorically to describe managing or operating the company, which is not a physical action. The source verb 'run' transcends its literal meaning of moving by leg movement to convey the abstract concept of overseeing a business, a common metaphorical usage.",'Zuckerberg is in so far over his head that he can’t even run his company honestly without purging our privacy and you think we care what the twit has to say.'
1138617735561306113_1_24_27,0,U.S. Borders,force,running,camps,"The verb 'running' is used metaphorically to describe the management or operation of 'camps' rather than a physical action. In this context, 'running' refers to the administrative or logistical control of the camps, extending the source verb's meaning beyond its literal sense of movement.",'As long as the Money is going to HELP THE MIGRANTS and not LINE THE POCKETS of your crony contractors that are building and running the concentration camps at the border.'
1009463818852995073_1_2_3,1,Immigrants,other,join,me,"The verb 'join' is used metaphorically here to characterize the target noun 'me' by implying an action of being with or participating in the speaker's company, which transcends the literal physical act of joining. The verb is not describing a tangible action but rather an abstract or relational connection, aligning with metaphorical usage as it involves an emotional or social interaction rather than a physical one.",'Will you join me?'
1007805471179370496_2_8_3,1,Immigration Policy,other,met,things,"The verb 'met' is used metaphorically here, as it transcends its literal meaning of a physical encounter to describe the abstract action of 'things' facing or being confronted with opposition. The phrasal verb 'meet with' is employed metaphorically to signify encountering challenges, rather than a direct physical interaction.","'However, the things he supported would be met with severe opposition in 2018.'"
